id,existingchecking,duration,credithistory,purpose,creditamount,savings,employmentsince,installmentrate,statussex,otherdebtors,residencesince,property,age,otherinstallmentplans,housing,existingcredits,job,peopleliable,telephone,foreignworker,classification
364, poor,18, existing credits paid back duly till now, furniture/equipment,2473, little, unemployed,4," male, single", none,1," car or other, not in attribute 6",25, none, own,1, unemployed/ unskilled - non-resident,1, none, yes,2
365, no checking account,12, existing credits paid back duly till now, business,1542, little, 4 to 7 years,2," male, single", none,4," car or other, not in attribute 6",36, none, own,1, skilled employee / official,1, yes, yes,1
366, no checking account,18, critical account/ other credits existing (not at this bank), car (used),3850, little, 4 to 7 years,3," male, single", none,1," car or other, not in attribute 6",27, none, own,2, skilled employee / official,1, none, yes,1
367, poor,18, existing credits paid back duly till now, furniture/equipment,3650, little, less than 1 year,1," female, divorced/separated/married", none,4," car or other, not in attribute 6",22, none, rent,1, skilled employee / official,1, none, yes,1
368, poor,36, existing credits paid back duly till now, furniture/equipment,3446, little, more than 7 years,4," male, single", none,2," car or other, not in attribute 6",42, none, own,1, skilled employee / official,2, none, yes,2
369, little,18, existing credits paid back duly till now, furniture/equipment,3001, little, 4 to 7 years,2," female, divorced/separated/married", none,4, real estate,40, none, rent,1, skilled employee / official,1, none, yes,1
370, no checking account,36, existing credits paid back duly till now, car (new),3079, unknown/ no savings account, 1 to 4 years,4," male, single", none,4, real estate,36, none, own,1, skilled employee / official,1, none, yes,1
371, no checking account,18, critical account/ other credits existing (not at this bank), radio/television,6070, little, more than 7 years,3," male, single", none,4," car or other, not in attribute 6",33, none, own,2, skilled employee / official,1, yes, yes,1
372, no checking account,10, critical account/ other credits existing (not at this bank), furniture/equipment,2146, little, less than 1 year,1," female, divorced/separated/married", none,3, real estate,23, none, rent,2, skilled employee / official,1, none, yes,1
373, no checking account,60, critical account/ other credits existing (not at this bank), car (new),13756, unknown/ no savings account, more than 7 years,2," male, single", none,4, unknown / no property,63," bank,", for free,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
374, little,60, all credits at this bank paid back duly, others,14782, moderate, more than 7 years,3," female, divorced/separated/married", none,4, unknown / no property,60," bank,", for free,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
375, poor,48, all credits at this bank paid back duly, business,7685, little, 4 to 7 years,2," female, divorced/separated/married", guarantor,4," car or other, not in attribute 6",37, none, rent,1, skilled employee / official,1, none, yes,2
376, no checking account,18, delay in paying off in the past, radio/television,2320, little, unemployed,2," male, married/widowed", none,3, real estate,34, none, own,2, skilled employee / official,1, none, yes,1
377, no checking account,7, delay in paying off in the past, radio/television,846, unknown/ no savings account, more than 7 years,3," male, single", none,4, unknown / no property,36, none, for free,1, skilled employee / official,1, none, yes,1
378, little,36, existing credits paid back duly till now, car (new),14318, little, more than 7 years,4," male, single", none,2, unknown / no property,57, none, for free,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
379, no checking account,6, critical account/ other credits existing (not at this bank), car (new),362, moderate, 1 to 4 years,4," female, divorced/separated/married", none,4," car or other, not in attribute 6",52, none, own,2, unskilled - resident,1, none, yes,1
380, poor,20, existing credits paid back duly till now, furniture/equipment,2212, unknown/ no savings account, 4 to 7 years,4," male, single", none,4," car or other, not in attribute 6",39, none, own,1, skilled employee / official,1, yes, yes,1
381, little,18, existing credits paid back duly till now, car (used),12976, little, unemployed,3," female, divorced/separated/married", none,4, unknown / no property,38, none, for free,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
382, no checking account,22, existing credits paid back duly till now, car (new),1283, unknown/ no savings account, 4 to 7 years,4," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,25, none, rent,1, skilled employee / official,1, none, yes,1
383, moderate,12, existing credits paid back duly till now, car (new),1330, little, less than 1 year,4," male, single", none,1, real estate,26, none, own,1, skilled employee / official,1, none, yes,1
384, no checking account,30, delay in paying off in the past, business,4272, moderate, 1 to 4 years,2," male, single", none,2, building society savings agreement/ life insurance,26, none, own,2, unskilled - resident,1, none, yes,1
385, no checking account,18, critical account/ other credits existing (not at this bank), radio/television,2238, little, 1 to 4 years,2," female, divorced/separated/married", none,1," car or other, not in attribute 6",25, none, own,2, skilled employee / official,1, none, yes,1
386, no checking account,18, existing credits paid back duly till now, radio/television,1126, unknown/ no savings account, less than 1 year,4," female, divorced/separated/married", none,2, real estate,21, none, rent,1, skilled employee / official,1, yes, yes,1
387, little,18, critical account/ other credits existing (not at this bank), furniture/equipment,7374, little, unemployed,4," male, single", none,4, building society savings agreement/ life insurance,40, stores, own,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
388, little,15, critical account/ other credits existing (not at this bank), business,2326, quite rich, 1 to 4 years,2," male, single", none,4," car or other, not in attribute 6",27," bank,", own,1, skilled employee / official,1, none, yes,1
389, no checking account,9, existing credits paid back duly till now, business,1449, little, 4 to 7 years,3," female, divorced/separated/married", none,2," car or other, not in attribute 6",27, none, own,2, skilled employee / official,1, none, yes,1
390, no checking account,18, existing credits paid back duly till now, car (new),1820, little, 1 to 4 years,2," male, married/widowed", none,2, building society savings agreement/ life insurance,30, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
391, little,12, existing credits paid back duly till now, furniture/equipment,983, rich, less than 1 year,1," female, divorced/separated/married", none,4, real estate,19, none, rent,1, unskilled - resident,1, none, yes,1
392, poor,36, existing credits paid back duly till now, car (new),3249, little, 4 to 7 years,2," male, single", none,4, unknown / no property,39," bank,", for free,1, management/ self-employed/highly qualified employee/ officer,2, yes, yes,1
393, poor,6, critical account/ other credits existing (not at this bank), radio/television,1957, little, 4 to 7 years,1," female, divorced/separated/married", none,4," car or other, not in attribute 6",31, none, own,1, skilled employee / official,1, none, yes,1
394, no checking account,9, critical account/ other credits existing (not at this bank), furniture/equipment,2406, little, unemployed,2," male, single", none,3," car or other, not in attribute 6",31, none, own,1, management/ self-employed/highly qualified employee/ officer,1, none, yes,1
395, little,39, delay in paying off in the past, education,11760, moderate, 4 to 7 years,2," male, single", none,3, unknown / no property,32, none, rent,1, skilled employee / official,1, yes, yes,1
